JUGADOR;CLUB;NACIONALIDAD;GOLES;AUTOGOL
DE LA CRUZ SANTACRUZ ESTEBAN SANTIAGO;C.D.OLMEDO;ECUATORIANA;2;No
DELGADO LOOR BAGNER SAMUEL;MUSHUC RUNA S.C.;ECUATORIANA;3;No
DIAZ DAMIAN RODRIGO;BARCELONA S.C.;ECUATORIANA;2;No
DORREGARAY DIEGO FERNANDO;TECNICO U.;ARGENTINA;5;No
DORREGARAY DIEGO FERNANDO;TECNICO U.;ARGENTINA;1;Sí
DUFFARD VILLARREAL MATIAS NICOLAS;S.D.AUCAS;URUGUAYA;1;Sí
DURAN FLAVIO ALEJANDRO;C.D.OLMEDO;ARGENTINA;1;No
ESCALADA LUIS MIGUEL;D.CUENCA;ECUATORIANA;5;No
ESCOBAR MOYANO JOFFRE ANDRES;AMERICA;ECUATORIANA;2;No
ESPINOLA RUIZ CESAR RAMON;AMERICA;PARAGUAYA;4;No
ESTERILLA CASTRO ELY JAIR;BARCELONA S.C.;ECUATORIANA;1;No
ESTRADA MARTINEZ MICHAEL STEVEEN;MACARA;ECUATORIANA;16;No
ESTUPIÑAN GARCIA LUIS JOEL;MUSHUC RUNA S.C.;ECUATORIANA;1;No
ESTUPIÑAN VALLESILLA OSCAR EDUARDO;BARCELONA S.C.;COLOMBIANA;5;No
FERAUD SILVA CARLOS ALFREDO;MACARA;ECUATORIANA;3;No
FIGUEROA VICTOR ALBERTO;S.D.AUCAS;ARGENTINA;4;No
FLOR BLANCO JOSE IGNACIO;TECNICO U.;ECUATORIANA;1;No
FREIRE NICOLAS OMAR;L.D.U.QUITO;ARGENTINA;3;No
GARCES ACOSTA CARLOS JHON;DELFIN S.C.;ECUATORIANA;12;No
GARCES SALAZAR ROBERTO DANIEL;INDEPENDIENTE DEL VALLE;ECUATORIANA;1;No
GEORGE CEDEÑO ALEX GUILLERMO;MUSHUC RUNA S.C.;ECUATORIANA;2;No
GODOY QUIÑONEZ WILMER JAVIER;C.S.EMELEC;ECUATORIANA;1;No
GOMEZ ISMAEL ALBERTO;MUSHUC RUNA S.C.;ARGENTINA;2;No
GONZALEZ GUERRERO HAROLD JONATHAN;D.CUENCA;ECUATORIANA;4;No
GOVEA TENORIO JUAN JOSE;INDEPENDIENTE DEL VALLE;ECUATORIANA;4;No
GRACIA TORAL ANGEL FERNANDO;S.D.AUCAS;ECUATORIANA;1;No
GUERRA CEDEÑO FRANKLIN JOSHUA;L.D.U.QUITO;ECUATORIANA;1;No
GUERRERO VASQUEZ FERNANDO ALEXANDER;C.S.EMELEC;ECUATORIANA;1;No
GUEVARA CHAVEZ EDDIE FERNANDO;TECNICO U.;ECUATORIANA;2;No
HERNANDEZ POROZO BRYAN PAUL;AMERICA;ECUATORIANA;1;No
HERRERA ROSAS ROBERT FABIAN;BARCELONA S.C.;URUGUAYA;1;No
HOYOS MICHAEL RYAN;GUAYAQUIL CITY F.C.;ESTADOUNIDENSE;8;No
INTRIAGO MENDOZA JEFFERSON ALFREDO;L.D.U.QUITO;ECUATORIANA;2;No
JAMA GUZMAN DAVINSON ALEXANDER;FUERZA AMARILLA S.C.;ECUATORIANA;3;No
JIMENEZ VEGA JHON JAIRO;GUAYAQUIL CITY F.C.;ECUATORIANA;1;No
JIMENEZ VEGA JHON JAIRO;GUAYAQUIL CITY F.C.;ECUATORIANA;1;Sí
JOHNSON MINA RONALDO IVAN;C.S.EMELEC;ECUATORIANA;1;No
JOHNSON MINA RONALDO IVAN;C.S.EMELEC;ECUATORIANA;1;Sí
JULIO PALACIOS JHOJAN ESMAIDES;L.D.U.QUITO;ECUATORIANA;2;No
JULIO SANTOS ANDERSON ANDRES;L.D.U.QUITO;ECUATORIANA;6;No
LANDAZURI ESTACIO ANTHONY RIGOBERTO;INDEPENDIENTE DEL VALLE;ECUATORIANA;2;No
LARREA ARELLANO PEDRO SEBASTIAN;D.CUENCA;ECUATORIANA;1;No
LAURITO FEDERICO RAUL;AMERICA;ARGENTINA;1;No
LEGUIZAMON ESPINOLA ANIBAL;C.S.EMELEC;ARGENTINA;1;Sí
LEON BERMEO LUIS FERNANDO;INDEPENDIENTE DEL VALLE;ECUATORIANA;3;No
LOPEZ CABRERA MARCOS ANDRES;U.CATOLICA;ECUATORIANA;1;No
LOPEZ SERGIO DANIEL;DELFIN S.C.;ARGENTINA;9;No
MANCHOT ALEJANDRO SEBASTIAN;MACARA;ARGENTINA;1;No
MANCILLA GEORGE PABLO JOSE;GUAYAQUIL CITY F.C.;ECUATORIANA;2;No
MARRET ACOSTA WILLER PAUL;TECNICO U.;ECUATORIANA;1;No
MARTINEZ BORJA CRISTIAN;L.D.U.QUITO;COLOMBIANA;4;No
MARTINEZ LEANDRO EMMANUEL;D.CUENCA;ARGENTINA;6;No
MARTINEZ MONTAGNOLI FACUNDO MARTIN;U.CATOLICA;ECUATORIANA;2;No
MARTINEZ TENORIO FIDEL FRANCISCO;BARCELONA S.C.;ECUATORIANA;16;No
MASTRIANI BORGES GONZALO MATHIAS;GUAYAQUIL CITY F.C.;VENEZOLANA;13;No
MEDINA VALENCIA RONNY BRYAN;AMERICA;ECUATORIANA;2;No
